類別,法規名稱,狀態,官方來源,檔案,附件數,基本資料
全國性法律,「教保服務人員條例」第四十一條第一項之解釋令,個別解釋令或生效公告，排除,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL002068,,0,法規名稱： 「教保服務人員條例」第四十一條第一項之解釋令 公發布日： 民國 110 年 04 月 29 日 發文字號： 臺教授國部字第1100031056B號 令 法規體系： 國民及學前教育
全國性法律,中低收入家庭幼童托教補助實施計畫,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=FL028654,全國性法律\中低收入家庭幼童托教補助實施計畫.html,0,法規名稱： 中低收入家庭幼童托教補助實施計畫 公發布日： 民國 93 年 01 月 06 日 修正日期： 民國 99 年 06 月 04 日 發文字號： 內政部台內童字第09908401902號;教育部台國(三)字第0990081514B號 法規體系： 國民及學前教育
全國性法律,個人資料保護法,完成,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=I0050021,全國性法律\個人資料保護法.html,0,法規名稱： 個人資料保護法 EN 修正日期： 民國 114 年 11 月 11 日 生效狀態： ※本法規部分或全部條文尚未生效，最後生效日期：未定 連結舊法規內容 1.一百十二年五月三十一日增訂之第 1-1  條條文，施行日期，由行政院定之。 2.一百十四年十一月十一日修正第 1-1、12、18、21、22～26、41、47～49、52、53、55  條條文；增訂第 1-2、20-1、21-1～21-5、51-1、53-1  條條文及第三章之一章名、第一節節名、第二節節名；刪除第 27 條條文，施行日期，由行政院定之。 法規類別： 行政 ＞ 個人資料保護委員會籌備處 ＞ 通用目
全國性法律,偏遠地區國民小學附設幼兒園招收幼兒辦法,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001783,全國性法律\偏遠地區國民小學附設幼兒園招收幼兒辦法.html,1,法規名稱： 偏遠地區國民小學附設幼兒園招收幼兒辦法 公發布日： 民國 107 年 07 月 06 日 發文字號： 臺教授國部字第1070066076B號 令 法規體系： 國民及學前教育 立法理由： 1070706立法理由.pdf
全國性法律,兒童及少年福利與權益保障法,完成,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0050001,全國性法律\兒童及少年福利與權益保障法.html,0,法規名稱： 兒童及少年福利與權益保障法 EN 修正日期： 民國 110 年 01 月 20 日 法規類別： 行政 ＞ 衛生福利部 ＞ 社會及家庭目
全國性法律,兒童及少年福利與權益保障法施行細則,完成,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0050010,全國性法律\兒童及少年福利與權益保障法施行細則.html,0,法規名稱： 兒童及少年福利與權益保障法施行細則 EN 修正日期： 民國 109 年 02 月 20 日 法規類別： 行政 ＞ 衛生福利部 ＞ 社會及家庭目
全國性法律,公告「一百零二學年至一百零六學年幼兒就讀幼兒園補助辦法之幼兒園應符合法令規定之項目」,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001093,全國性法律\公告「一百零二學年至一百零六學年幼兒就讀幼兒園補助辦法之幼兒園應符合法令規定之項目」.html,0,法規名稱： 公告「一百零二學年至一百零六學年幼兒就讀幼兒園補助辦法之幼兒園應符合法令規定之項目」 公發布日： 民國 104 年 05 月 08 日 發文字號： 臺教授國部字第1020015513A號公告 法規體系： 國民及學前教育
全國性法律,公立幼兒園契約進用人員之進用考核及待遇辦法,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000639,全國性法律\公立幼兒園契約進用人員之進用考核及待遇辦法.html,5,法規名稱： 公立幼兒園契約進用人員之進用考核及待遇辦法 公發布日： 民國 101 年 04 月 27 日 修正日期： 民國 115 年 06 月 30 日 發文字號： 臺教授國部字第1155601478A號 令 法規體系： 國民及學前教育 立法理由： 1120227立法理由.pdf 1121225立法理由.pdf 1131231立法理由.pdf 1150630立法理由.pdf 圖表附件： (1131231)公立幼兒園契約進用人員之進用考核及待遇辦法附表.pdf
全國性法律,公立幼兒園契約進用人員之進用考核及待遇辦法 解釋令,個別解釋令或生效公告，排除,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001895,,0,法規名稱： 公立幼兒園契約進用人員之進用考核及待遇辦法 解釋令 公發布日： 民國 107 年 01 月 11 日 發文字號： 臺教授國部字第1080054502B號 令 法規體系： 國民及學前教育
全國性法律,公立幼兒園契約進用人員之進用考核及待遇辦法 解釋令,個別解釋令或生效公告，排除,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001837,,0,法規名稱： 公立幼兒園契約進用人員之進用考核及待遇辦法 解釋令 公發布日： 民國 107 年 12 月 17 日 發文字號： 臺教授國部字第1070114489B號 令 法規體系： 國民及學前教育
全國性法律,公立幼兒園教保服務人員請假辦法,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000701,全國性法律\公立幼兒園教保服務人員請假辦法.html,5,法規名稱： 公立幼兒園教保服務人員請假辦法 公發布日： 民國 101 年 09 月 14 日 修正日期： 民國 115 年 05 月 27 日 發文字號： 臺教授國部字第1155601166A號 令 法規體系： 國民及學前教育 立法理由： 1070327立法理由.pdf 1080501立法理由.pdf 1120227立法理由.pdf 1131231立法理由.pdf 1150527立法理由.pdf
全國性法律,勞動基準法,完成,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0030001,全國性法律\勞動基準法.html,0,法規名稱： 勞動基準法 EN 修正日期： 民國 113 年 07 月 31 日 法規類別： 行政 ＞ 勞動部 ＞ 勞動條件及就業平等目
全國性法律,勞動基準法施行細則,完成,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0030002,全國性法律\勞動基準法施行細則.html,0,法規名稱： 勞動基準法施行細則 EN 修正日期： 民國 113 年 03 月 27 日 法規類別： 行政 ＞ 勞動部 ＞ 勞動條件及就業平等目
全國性法律,原住民幼兒就讀公私立幼稚園學費補助辦法,已廢止或停止適用，排除,https://edu.law.moe.gov.tw/LawContent.aspx?id=FL035104,,0,法規名稱： 廢 原住民幼兒就讀公私立幼稚園學費補助辦法 公發布日： 民國 94 年 04 月 14 日 廢止日期： 民國 102 年 10 月 04 日 發文字號： 臺教授國部字第1020069038B號;原民教字第10200453481號 令 法規體系： 國民及學前教育 立法理由： 原住民幼兒就讀公私立幼稚園學費補助辦法 立法理由.txt 0940414立法理由.pdf 0961025立法理由.pdf 0971126立法理由.pdf 0981013立法理由.pdf 0991228立法理由.pdf 1001111立法理由.pdf
全國性法律,原住民幼兒就讀公私立幼稚園學費補助辦法生效令,個別解釋令或生效公告，排除,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000592,,0,法規名稱： 原住民幼兒就讀公私立幼稚園學費補助辦法生效令 公發布日： 民國 100 年 11 月 29 日 發文字號： 臺國(三)字第1000205162C號 令 法規體系： 國民及學前教育
